Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Commercial,26,7,No,Negligence,Large,39,4,Yes,8,12,Yes,Yes,1-3 years,25.352638067460283,82.97524953266871,3.481602309713293,24.75005029775792
Residential,16,5,Yes,Negligence,Large,31,7,No,5,16,No,No,None,23.983804084566906,67.25864853860354,2.463037435665918,32.1079232577011
Residential,8,2,Yes,Negligence,Small,21,6,Yes,2,9,No,No,Over 3 years,23.08387343652385,58.70798828688592,4.062214226972307,64.46947020268256
Residential,40,11,No,Negligence,Medium,20,7,No,11,9,No,Yes,None,26.533885395926166,81.76864093965166,2.136251863310997,2.3
Residential,27,7,No,Electrical,Small,30,9,No,7,11,Yes,No,Over 3 years,20.1382340475071,42.67409738743791,3.6794900733734615,43.58626252411115
Industrial,30,8,No,Chemical,Small,32,5,Yes,8,0,No,No,1-3 years,23.90458988424652,83.24805262899442,4.687874883406747,19.763614212631342
Residential,20,6,No,Chemical,Small,43,4,No,8,6,Yes,No,None,15.1,69.75926819818625,3.639456321920656,40.11088060655332
Residential,26,7,Yes,Negligence,Small,0,7,No,5,2,No,No,Over 3 years,15.1,57.18043027922738,3.0041461402005813,30.974575150777905
Residential,43,12,No,Negligence,Medium,27,7,No,9,6,Yes,Yes,1-3 years,20.65113173828224,74.11351736471289,0.6,13.313925762357831
Industrial,21,6,Yes,Chemical,Large,30,2,No,1,1,No,No,Within 1 year,20.625333503405244,75.4207440585404,2.2001413801475147,12.675582297014325
Residential,11,3,No,Negligence,Small,20,9,No,5,5,No,Yes,None,15.1,51.145202647834736,2.396654131610464,43.00100209982816
Commercial,14,4,Yes,Negligence,Small,12,5,No,2,2,Yes,No,1-3 years,16.06476126314905,62.30721458217764,3.39517231419594,44.41175204673778
Commercial,46,13,Yes,Negligence,Medium,42,4,No,12,7,No,Yes,None,19.53511235700344,86.76112015930285,3.4947752288443303,7.967907379233793
Commercial,18,5,Yes,Chemical,Small,32,5,No,4,2,No,No,None,22.93483991545688,89.75181411443751,3.3268054515569583,49.754002072353245
Residential,27,8,Yes,Chemical,Large,18,5,No,5,0,No,No,None,23.95654462318685,74.51188849531445,4.9,12.623695164257963
Commercial,6,2,No,Negligence,Medium,30,4,No,2,7,Yes,No,Over 3 years,16.983362670087658,88.89596927485401,0.9637212936185025,51.609515770206926
Industrial,49,14,Yes,Chemical,Small,9,4,Yes,10,9,No,No,Over 3 years,20.39367298192217,73.20417543470346,2.415577350437565,47.15744827878106
Residential,19,6,No,Electrical,Small,32,7,No,10,13,No,No,Over 3 years,25.164168350317944,80.67377740044226,3.17481452216938,45.72622055388366
Industrial,24,7,Yes,Negligence,Medium,49,4,No,7,1,No,Yes,Over 3 years,19.78115802668384,93.8457545453181,3.962226600770353,2.3
Commercial,5,1,No,Chemical,Medium,34,3,No,1,7,No,Yes,None,23.64245281742105,84.91727446797428,1.9370520879019044,11.783576800184695
Commercial,26,7,Yes,Electrical,Small,35,8,Yes,4,0,No,No,1-3 years,16.915062229279343,72.46924763364164,2.22875276977032,68.85618823766893
Residential,20,6,No,Chemical,Small,19,4,No,5,3,No,No,Within 1 year,22.41117081381832,87.99332459532275,2.631681655427764,14.001304466308454
Residential,44,13,No,Chemical,Medium,7,5,Yes,11,17,No,No,Over 3 years,23.010255451217382,55.30917999048653,1.7261840711331755,57.005009766461
Residential,8,2,No,Chemical,Small,2,9,No,1,0,No,No,None,22.815406288804795,58.83081862815687,2.985150851792978,2.3
Residential,26,8,No,Chemical,Large,17,6,No,9,4,No,Yes,None,21.459348624273325,95.30096722175232,2.3257603155803195,56.59382208351392
Commercial,34,10,No,Chemical,Medium,45,1,No,4,0,No,No,Within 1 year,20.62695444309999,41.40578243404045,2.203211759004427,41.46552078252651
Commercial,34,9,No,Chemical,Small,32,5,No,4,11,No,No,None,22.31919665614406,46.903352126254944,1.0915948222997829,35.39996515657482
Residential,15,4,No,Chemical,Medium,7,5,No,4,7,No,No,None,19.9833665086304,98.21970172715092,3.231707773767476,12.311417099181554
Commercial,28,8,Yes,Negligence,Medium,16,2,Yes,9,14,No,Yes,Over 3 years,28.196886150471247,81.03198260921464,3.441492123371588,79.44342109071194
Commercial,26,7,No,Negligence,Medium,50,7,No,1,0,No,No,1-3 years,17.84519294637729,48.46260013466855,1.906767022936373,2.3
Residential,39,12,No,Negligence,Medium,10,10,No,12,16,Yes,No,Within 1 year,16.618789468775944,56.90383435475615,2.964374934957372,19.55748325129266
Residential,12,4,Yes,Negligence,Small,8,10,Yes,10,8,Yes,Yes,Over 3 years,16.78181093286011,84.66583502349675,4.627923372569963,36.91555416142042
Commercial,34,10,No,Negligence,Small,42,1,Yes,10,12,No,No,1-3 years,15.223934394448674,64.65969605041875,0.6,39.712150841257305
Industrial,33,10,Yes,Negligence,Medium,20,8,Yes,6,16,Yes,Yes,Over 3 years,29.7,72.68302633768273,1.864025595638143,29.20717819868979
Commercial,27,8,No,Chemical,Large,31,9,Yes,9,11,No,No,Over 3 years,21.61631127625768,54.81654900680096,3.120485017623808,73.46252259282221
Commercial,24,7,Yes,Chemical,Medium,25,8,Yes,12,5,No,Yes,Over 3 years,18.158978717886924,92.70756304011108,3.162501366619217,32.380029015217765
Commercial,32,9,No,Electrical,Medium,21,5,No,4,13,No,No,None,29.7,63.65572635442513,0.6,27.4058855354366
Residential,22,7,No,Electrical,Large,48,1,Yes,6,2,Yes,Yes,Over 3 years,19.513372449520865,99.4,2.860371227888889,26.072337196648384
Residential,18,6,Yes,Negligence,Small,19,2,No,6,4,Yes,Yes,Within 1 year,15.1,79.81402417390946,2.842642126397501,18.41860762933936
Industrial,45,13,No,Chemical,Small,49,3,No,9,2,No,No,Within 1 year,24.50815143903685,88.43441422844202,1.372279638403298,2.3
Commercial,49,14,No,Chemical,Small,28,9,Yes,15,12,Yes,Yes,Within 1 year,23.48916419121748,57.997482949224604,1.9527826106016315,44.34769678702892
Residential,17,5,No,Chemical,Medium,43,9,No,5,11,No,No,None,23.89876027013455,65.55638887781994,1.5201743847945774,5.011835891933913
Residential,6,2,No,Chemical,Medium,5,6,No,5,4,No,Yes,None,21.22789566238197,67.27917948535814,1.2330589727928456,48.45058656117824
Residential,20,5,No,Chemical,Small,21,6,No,5,3,No,No,Over 3 years,22.66789806525281,89.66370302752895,3.4588789492371625,2.3
Residential,34,10,No,Negligence,Medium,7,3,Yes,8,8,No,No,1-3 years,19.464580998253577,60.04806757897892,3.7142932281845504,5.6032285397315285
Residential,36,10,No,Chemical,Small,16,10,Yes,9,12,No,Yes,None,25.879531094616528,40.4,2.068163663502614,43.43380343929852
Residential,19,5,Yes,Electrical,Small,23,9,Yes,6,7,Yes,Yes,None,19.52244998489501,83.1712603629556,3.813096013180719,46.04663024787182
Commercial,19,5,Yes,Negligence,Medium,33,8,Yes,10,14,No,Yes,Within 1 year,21.70547091656401,54.585317542797135,4.2484371585695175,74.09427048681451
Residential,11,3,No,Negligence,Medium,48,4,No,2,9,No,No,Over 3 years,28.108327037599565,67.52262897925065,1.4362769822859216,7.445884205095862
Commercial,44,13,No,Negligence,Small,34,5,Yes,11,9,No,No,1-3 years,24.576309408313413,76.75030129540686,0.6,2.3
Residential,5,1,No,Negligence,Small,30,7,No,1,8,Yes,Yes,Over 3 years,23.91095578962078,59.95073227850053,1.520420068939398,52.92583566519943
Residential,37,10,No,Negligence,Small,22,10,No,10,1,No,No,Within 1 year,20.99408022276022,50.54987114715304,4.067974289540421,6.4159050621279725
Residential,31,8,No,Electrical,Small,39,7,Yes,8,8,Yes,Yes,Over 3 years,15.1,43.743455795357406,2.623573962147158,32.267917323163495
Industrial,31,9,No,Negligence,Large,20,9,Yes,9,16,No,No,Within 1 year,26.089708107538826,90.18844650750978,2.497507081236024,48.06702878002798
Commercial,35,10,Yes,Chemical,Medium,32,3,No,9,7,No,No,Over 3 years,28.498172228123465,77.14931940492308,2.5201010315765378,31.60526316600837
Industrial,45,13,No,Negligence,Medium,28,6,Yes,9,12,Yes,Yes,Over 3 years,24.5079224243594,73.58804650788385,2.442569908554797,28.22900898208676
Residential,15,4,No,Chemical,Medium,17,3,No,3,9,No,No,Over 3 years,21.440429975742315,40.4,2.858945332977574,2.3
Residential,37,11,No,Negligence,Small,37,3,No,10,11,Yes,No,Over 3 years,25.27319688017456,50.05190665651958,2.337938540654633,31.58827677811333
Industrial,38,11,Yes,Chemical,Small,27,1,Yes,11,10,No,Yes,None,21.73711162049562,77.99088901616997,4.782288429681882,61.26131066555112
Commercial,29,9,No,Chemical,Small,19,7,No,9,5,No,No,Over 3 years,23.49953818599543,66.81021799667614,2.81104659634327,21.87600106035264
Industrial,35,10,Yes,Negligence,Small,23,5,Yes,16,18,Yes,Yes,Over 3 years,22.90772809528532,99.4,2.2052573737447423,94.1
Commercial,15,4,Yes,Negligence,Small,17,7,No,3,5,Yes,Yes,None,22.64629244833773,58.12074936772935,4.9,52.54884828828377
Industrial,8,3,Yes,Chemical,Large,17,8,Yes,2,5,No,No,None,21.605814814860885,73.91613304527935,2.552548105774538,78.58174126962811
Residential,20,5,Yes,Negligence,Small,14,8,Yes,2,1,No,No,Within 1 year,18.491257376503576,55.91468912012621,3.3376174381832784,21.287966631151363
Commercial,13,3,No,Negligence,Large,50,5,Yes,5,2,No,No,None,15.1,95.4863330185782,2.1329103259057884,64.17601921703562
Commercial,8,2,Yes,Chemical,Small,34,8,Yes,5,0,No,No,1-3 years,24.73773887853183,67.73474584177202,1.433107823807514,41.45735652155145
Commercial,22,7,Yes,Negligence,Small,21,4,Yes,7,11,Yes,Yes,None,24.7415147075755,91.13302950714515,2.766982803448604,23.980429383904955
Commercial,25,7,No,Chemical,Medium,24,8,Yes,3,5,No,No,Over 3 years,24.443166200098105,48.646978501481456,0.6,2.3
Residential,10,3,No,Electrical,Large,9,7,No,3,8,No,No,Within 1 year,15.1,82.87737791955702,2.5625164379121124,20.584749143425864
Commercial,5,1,Yes,Negligence,Small,43,4,No,1,0,No,No,Within 1 year,26.31802140365041,52.26983609919222,1.112569406824165,26.525298359525515
Residential,21,6,No,Negligence,Small,21,8,No,8,14,No,No,Over 3 years,20.941270628005416,69.1866643642175,1.5806870761567884,26.85185743154122
Industrial,28,8,Yes,Negligence,Small,0,5,No,7,4,No,Yes,Within 1 year,25.05832563495899,78.38346907770303,2.485615037914004,10.219528836984384
Industrial,32,9,No,Chemical,Small,30,6,No,6,8,Yes,Yes,1-3 years,26.75947643344786,59.87317692491288,1.949807751999017,58.60499007663758
Residential,19,6,No,Electrical,Small,1,7,Yes,10,10,No,No,Over 3 years,17.064414331672275,75.99787978784745,2.055698554762702,3.210737359225199
Residential,19,6,No,Chemical,Large,31,4,Yes,7,9,Yes,No,Within 1 year,23.339982585635,42.73219069333455,3.5387952125302435,38.003373213269946
Commercial,38,11,No,Negligence,Medium,24,4,No,10,7,No,No,1-3 years,27.56953668243561,72.67950114349208,3.578507675489159,2.3
Industrial,28,9,Yes,Chemical,Large,30,5,Yes,3,7,No,Yes,None,19.410751945799547,40.4,3.433860574944772,84.50650542066735
Commercial,13,4,No,Electrical,Medium,42,10,Yes,6,8,No,No,Within 1 year,23.67701561285536,75.73788995926594,1.0266886166824498,26.835879380291843
Commercial,21,6,Yes,Chemical,Large,10,6,Yes,7,0,Yes,Yes,Within 1 year,21.52168787101132,99.4,0.918989736124032,55.938023151859696
Commercial,23,7,Yes,Negligence,Large,31,5,Yes,8,9,Yes,No,Within 1 year,19.127480953664936,69.18844316877052,4.536226343137646,94.1
Commercial,44,12,Yes,Chemical,Large,19,7,Yes,11,9,No,Yes,Within 1 year,20.100542770885745,63.14761960159288,1.5700499246922224,34.624998654465095
Industrial,16,4,No,Chemical,Medium,50,8,No,2,0,No,No,Over 3 years,24.21295751419384,71.34163117923758,3.529614858695233,8.292878340032896
Residential,32,9,No,Negligence,Medium,34,7,Yes,8,14,No,No,None,17.753773827365244,63.38232151496084,1.2825933322759755,5.12181931984529
Industrial,30,9,No,Chemical,Small,25,5,No,4,2,No,No,Within 1 year,29.7,62.77338623705258,2.403340002046431,12.609269382452649
Commercial,22,6,No,Negligence,Medium,23,7,No,11,9,No,Yes,Over 3 years,20.04726729744531,74.53158374466301,3.5692466614201743,30.309220324329385
Residential,21,6,Yes,Negligence,Large,42,1,Yes,6,8,Yes,Yes,Over 3 years,21.929017908381088,54.07794521282998,1.815724289887964,71.74012284136384
Residential,43,13,Yes,Chemical,Large,0,7,No,12,10,Yes,No,Within 1 year,19.079014359423347,67.88277725018277,3.3750882979625016,52.23373511867483
Commercial,35,10,No,Negligence,Large,44,1,Yes,9,15,No,No,None,28.49343991601216,99.4,2.680329622991907,49.26655426693185
Commercial,27,7,Yes,Chemical,Large,32,4,No,9,4,No,Yes,Over 3 years,21.334740009639354,99.4,1.1352633090263036,8.30212892378719
Commercial,30,8,Yes,Negligence,Small,40,2,Yes,6,6,No,No,1-3 years,19.94739360980451,59.9121241841011,3.335933620455656,35.16280636605887
Residential,16,4,No,Electrical,Large,50,6,Yes,12,14,Yes,No,1-3 years,19.048713883187983,80.94737886403928,3.73296361481885,41.92182873522199
Commercial,5,1,No,Chemical,Large,12,7,Yes,1,5,No,No,None,29.576118301808773,60.76364613825877,4.227319734448301,29.94080913657867
Residential,12,3,Yes,Chemical,Small,9,2,No,1,0,No,No,None,25.79010128096732,76.73109251464498,1.9121946438904005,44.377641859994
Residential,31,9,Yes,Electrical,Small,27,6,No,9,8,Yes,Yes,Over 3 years,20.48026288641765,77.82920285127081,4.12409355438178,45.25808927434266
Industrial,19,6,Yes,Negligence,Small,38,2,No,6,3,No,Yes,Over 3 years,16.65983774128763,99.4,3.247680066049809,35.27171414807927
Residential,21,6,No,Negligence,Medium,42,8,Yes,7,4,No,No,Over 3 years,23.69715192385601,75.91045335534012,3.88069672975548,30.92584186706856
Commercial,9,3,Yes,Negligence,Small,14,10,No,6,1,No,No,Over 3 years,16.40644183852974,81.7729025201687,1.4629790884932974,45.005940167119626
Residential,17,5,No,Negligence,Small,38,5,Yes,5,5,No,No,Within 1 year,19.571124264802915,91.35170075240455,3.032319467378973,21.34843924957641
Commercial,48,14,Yes,Chemical,Small,13,5,Yes,10,13,Yes,No,Within 1 year,25.441732603534824,40.4,3.810952970845184,2.3
Residential,21,6,No,Negligence,Medium,22,8,Yes,5,10,No,No,None,21.52879568110544,57.30764869929975,3.3540112484912616,47.66306399819153
Commercial,32,9,Yes,Negligence,Small,20,7,No,5,0,No,Yes,None,18.01967449336248,68.4195968884469,3.9986782937727567,84.21835877193985
Industrial,17,5,Yes,Chemical,Large,31,3,Yes,4,10,No,Yes,None,20.02462874521952,94.1545613744954,4.9,80.24778915087255
Commercial,21,6,No,Electrical,Medium,27,6,No,4,0,No,No,Within 1 year,18.310238988378483,79.39355074957095,2.737474264876356,2.3
Residential,26,8,Yes,Chemical,Small,5,5,Yes,4,1,No,Yes,None,15.1,40.4,2.2744698480213943,51.5844741070648
Commercial,22,7,No,Negligence,Medium,31,5,Yes,6,0,No,No,Over 3 years,17.969313637964387,73.78008309695059,4.9,57.48958687265997
Residential,39,11,No,Negligence,Small,27,6,No,7,4,Yes,Yes,1-3 years,18.8840584281592,81.49881296281266,2.202715888789065,2.3
Residential,26,7,No,Chemical,Medium,11,7,No,1,0,No,No,Over 3 years,17.85802929583135,40.4,3.4782525620481697,2.3
Residential,17,4,No,Electrical,Small,29,7,Yes,2,8,No,No,Over 3 years,23.12664110268985,61.39547528249296,1.2516358576941975,13.497021712298626
Industrial,29,9,Yes,Chemical,Medium,35,1,No,8,17,No,No,Within 1 year,29.7,87.7478263838482,0.6,29.72705418594697
Residential,29,8,No,Chemical,Medium,22,5,Yes,10,7,No,No,Over 3 years,15.837158770779022,77.73272545180055,0.6,27.10413828039558
Commercial,40,11,No,Negligence,Small,8,10,Yes,10,9,Yes,Yes,Over 3 years,23.03041220129762,40.4,2.408784796845843,76.80063813722641
Residential,9,2,No,Chemical,Small,23,6,No,1,1,Yes,No,None,20.62808650240887,60.810094482476345,3.4919041195672937,26.956831782960904
Commercial,26,7,No,Chemical,Large,38,3,No,7,0,No,No,None,15.346363966380348,65.39602911062534,1.5558898339748573,37.861360124574446
Commercial,38,11,Yes,Chemical,Small,34,5,No,7,2,Yes,Yes,Within 1 year,23.93573152628685,51.9635450571533,4.488648042379506,25.78225370759386
Residential,15,4,Yes,Negligence,Small,0,7,No,2,7,No,No,Over 3 years,24.27818256222474,47.28860107523573,3.141242953593226,27.531630867515915
Residential,49,14,No,Chemical,Small,50,2,No,16,13,No,No,None,23.80212672432461,51.70253191868044,3.014429681614159,22.46622976204068
Commercial,13,4,Yes,Negligence,Small,0,10,Yes,5,6,No,No,Within 1 year,15.1,75.15182986057401,2.718012195181076,2.3
Industrial,26,8,No,Chemical,Small,41,4,No,6,4,Yes,Yes,Within 1 year,21.63810575594876,87.03702504396124,2.101535270058683,45.93112492249279
Commercial,25,7,No,Chemical,Medium,30,10,Yes,7,8,No,No,Over 3 years,21.14795392914226,68.90701477793418,3.067783422793148,49.65780005080401
Residential,26,7,No,Chemical,Small,44,3,Yes,7,7,Yes,Yes,None,19.949855117576213,43.69439804884438,4.9,2.3
Commercial,31,9,No,Negligence,Small,46,7,Yes,7,9,No,No,Over 3 years,19.235470654210413,61.91500869392096,1.9654879444500504,35.49606332047464
Commercial,15,4,No,Electrical,Small,29,8,Yes,6,14,No,Yes,Over 3 years,17.96485414887131,77.24901037877213,3.124509406939296,35.86787852114134
Commercial,19,6,Yes,Negligence,Large,38,6,Yes,8,9,No,No,Within 1 year,18.51425465123008,71.26211858074211,0.6173599012670916,75.25608459816632
Industrial,16,5,No,Negligence,Small,33,8,Yes,3,11,No,No,Within 1 year,18.452381415487192,63.59928109677796,1.7554184936850192,46.81794828367688
Commercial,12,4,No,Negligence,Small,30,6,Yes,4,4,No,No,Within 1 year,15.1,67.23610467353721,4.559429959321816,37.95742597350576
Commercial,26,7,No,Chemical,Small,41,3,Yes,3,9,No,No,None,27.15202164728368,77.6004665456394,2.8613709346772853,63.132605071529866
Commercial,28,8,No,Negligence,Large,39,9,Yes,5,12,Yes,No,Over 3 years,19.39305460638276,57.752188996827456,1.1693512145566154,52.75377386323132
Commercial,36,11,No,Chemical,Large,39,4,No,10,8,No,Yes,Within 1 year,26.51956536237213,94.97393853059604,0.6,14.610992715458668
Industrial,20,6,Yes,Negligence,Large,46,4,No,1,1,Yes,No,Within 1 year,27.221657184133107,58.84724960890505,4.766115217178124,47.998738952048434
Industrial,38,11,No,Negligence,Medium,46,1,Yes,8,5,No,No,Within 1 year,19.174070846329283,68.99067718694131,4.487365600578293,34.32139787604695
Commercial,25,7,No,Negligence,Medium,24,7,Yes,7,11,No,No,None,25.28405079335137,88.40652128700877,4.271883041197091,34.94140305715171
Commercial,37,11,Yes,Negligence,Small,13,5,Yes,7,8,Yes,Yes,1-3 years,24.354240102772863,46.85079701724659,3.8747060276084113,65.11622591028559
Residential,35,10,Yes,Negligence,Large,0,2,Yes,9,17,Yes,Yes,Within 1 year,27.952283530183173,99.4,2.7356135721858923,56.34467380233535
Residential,34,10,No,Chemical,Medium,29,10,Yes,10,5,No,No,None,22.519811815317155,71.80874010208534,0.6617837525791206,84.02565850577068
Residential,41,12,No,Electrical,Medium,32,6,No,13,8,No,No,Over 3 years,17.943408722275905,62.55521836790673,3.229745796431817,27.95853983919512
Residential,27,8,No,Negligence,Large,35,10,Yes,11,16,Yes,Yes,Over 3 years,15.1,56.043086631126855,2.252901024956359,75.68483892862515
Industrial,8,3,No,Electrical,Small,39,6,No,4,7,No,Yes,None,21.318901079806704,85.7918167792378,2.476985884786253,2.3
Commercial,9,3,Yes,Chemical,Large,39,3,Yes,4,0,Yes,Yes,Over 3 years,17.144256223178424,64.78640055457967,4.9,73.36795752813504
Commercial,45,13,Yes,Chemical,Medium,3,9,No,8,3,No,No,Within 1 year,24.690464512175453,91.63221792021598,2.272622052792216,3.868919237341885
Commercial,41,12,No,Negligence,Small,38,2,Yes,10,11,Yes,Yes,Within 1 year,19.189450520260262,68.62515821346601,2.736814734309528,46.50846741286103
Commercial,24,7,Yes,Chemical,Large,29,3,Yes,6,0,Yes,Yes,Within 1 year,19.90252283152609,91.98017695121985,2.840383339163908,57.34680138686507
Commercial,38,11,No,Negligence,Medium,12,10,Yes,8,9,No,No,None,24.50917913089844,69.6504559384546,4.113196098617793,23.793965332477587
Residential,35,10,No,Electrical,Small,0,10,No,8,4,No,No,Within 1 year,25.197400851067485,40.4,4.179653409203541,2.3
Residential,44,12,No,Negligence,Large,14,7,No,11,12,No,No,1-3 years,24.00028927779809,71.69751807485034,2.3321502295233443,7.36219027216876
Residential,33,9,No,Electrical,Medium,40,4,Yes,8,8,No,No,None,22.75091255898925,83.58854304016313,4.493304371276301,8.431417488211526
Industrial,35,10,Yes,Negligence,Small,32,7,Yes,10,12,No,Yes,Within 1 year,21.01807174436248,70.82343394943999,2.50127654423886,78.94848569596115
Residential,42,12,No,Chemical,Medium,36,6,Yes,10,1,No,No,None,20.479620613194985,70.09777140349001,1.99749475173594,37.748452869501484
Commercial,49,14,No,Negligence,Medium,47,6,Yes,14,17,No,No,1-3 years,29.089744109534568,63.40084466632151,3.811869268742952,15.581490027332396
Residential,8,2,No,Negligence,Small,38,7,Yes,4,0,No,No,Over 3 years,20.71173613133448,61.232305316434285,4.803463242543815,46.871526119709486
Commercial,37,11,Yes,Chemical,Small,33,6,Yes,11,2,Yes,Yes,1-3 years,29.7,48.58541910828872,1.1489669081977876,66.40644328602399
Industrial,49,14,No,Negligence,Small,40,5,No,11,13,Yes,No,1-3 years,28.741752858591106,72.36476345411954,2.361376311964813,28.143869163475863
Commercial,24,7,No,Electrical,Large,39,10,No,9,6,No,Yes,Over 3 years,21.110833335336203,73.49119096620878,3.3956048183243897,35.50948026281589
Commercial,29,8,No,Chemical,Medium,25,4,No,6,6,No,No,Within 1 year,24.75719151168707,78.3934288275244,2.298874747700061,6.6272338056629145
Residential,30,9,No,Chemical,Large,2,6,Yes,10,8,No,No,None,16.333748567320246,86.25263285323352,2.772331676284668,66.40997356722491
